EDITION,YEAR,LOCATION,WINNER,TEAMS,MATCHES,GOALS,AVERAGE_GOALS,AVERAGE_ATTENDANCE
2014 FIFA World Cup Brazil ™,2014,Brazil,Germany,32,64,171,2.7,52918
2010 FIFA World Cup South Africa ™,2010,South Africa,Spain,32,64,145,2.3,49669
2006 FIFA World Cup Germany ™,2006,Germany,Italy,32,64,147,2.3,52491
2002 FIFA World Cup Korea/Japan ™,2002,Korea/Japan,Brazil,32,64,161,2.5,42268
1998 FIFA World Cup France ™,1998,France,France,32,64,171,2.7,43517
1994 FIFA World Cup USA ™,1994,USA,Brazil,24,52,141,2.7,68991
1990 FIFA World Cup Italy ™,1990,Italy,Germany,24,52,115,2.2,48388
1986 FIFA World Cup Mexico ™,1986,Mexico,Argentina,24,52,132,2.5,46039
1982 FIFA World Cup Spain ™,1982,Spain,Italy,24,52,146,2.8,40571
1978 FIFA World Cup Argentina ™,1978,Argentina,Argentina,16,38,102,2.7,40678
1974 FIFA World Cup Germany ™,1974,Germany,Germany,16,38,97,2.6,49098
1970 FIFA World Cup Mexico ™,1970,Mexico,Brazil,16,32,95,3,50124
1966 FIFA World Cup England ™,1966,England,England,16,32,89,2.8,48847
1962 FIFA World Cup Chile ™,1962,Chile,Brazil,16,32,89,2.8,27911
1958 FIFA World Cup Sweden ™,1958,Sweden,Brazil,16,35,126,3.6,23423
1954 FIFA World Cup Switzerland ™,1954,Switzerland,Germany,16,26,140,5.4,29561
1950 FIFA World Cup Brazil ™,1950,Brazil,Uruguay,13,22,88,4,47511
1938 FIFA World Cup France ™,1938,France,Italy,15,18,84,4.7,20872
1934 FIFA World Cup Italy ™,1934,Italy,Italy,16,17,70,4.1,21352
1930 FIFA World Cup Uruguay ™,1930,Uruguay,Uruguay,13,18,70,3.9,32808
